borough,name,gx_location,lat,lon,citymap_location,materials_accepted,days,hours,months_of_operation,Requirements,organizer,composted_by,website,site_type,container_type,nyc_compost,nyc_compost.href
MN,57th Street Greenmarket,"57th St &amp; 9th Ave, New York, NY 10019
(40.76489999963542, -73.98420000022969)",40.7649,-73.9842,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=988207,219050&c=GISBasic&s=i:WEST+57+STREET,9+AVENUE,MANHATTAN",food scraps,Saturdays,8 am – 1 pm,"(through Dec 22, 2012)",check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,6th and B Garden,"East 6th Street and Avenue B, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=E+6th+St+&crossStreetTwo=Ave+B&borough=Manhattan&Submit4=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.6bgarden.org,Community Garden,2 or 3 bin,no,
MN,79th Street Greenmarket,"79th St &amp; Columbus Ave, New York, NY 10024
(40.786299999945186, -73.9752700003101)",40.7863,-73.97527,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=991040,224164&c=GISBasic&s=i:WEST+79+STREET,COLUMBUS+AVENUE,MANHATTAN",food scraps,Sundays,9 am – 1:00 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,82nd Street Greenmarket,"East 82nd St &amp; York Ave, New York, NY 10028
(40.77601999982329, -73.95274999961265)",40.77602,-73.95275,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997935,221182&c=GISBasic&s=l:MANHATTAN,1561,37,PLUTO",food scraps,Saturdays,9 am – 1 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,92nd Street Greenmarket,"92nd St &amp; 1st Ave, New York, NY 10128
(40.7813999997104, -73.95056999980551)",40.7814,-73.95057,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=999041,223708&c=GISBasic&s=i:EAST+92+STREET,1+AVENUE,MANHATTAN",food scraps,Sundays,9 am – 1 pm,"(June 17-Dec 23, 2012)",check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,9th Street Community Garden,"Avenue C between East 9th Street and East 10th Street, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=Ave+C&crossStreetTwo=E+9th+St&borough=Manhattan&Submit4=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.myspace.com/9ccommunitygarden,Community Garden,enclosed bins,no,
MN,Abingdon Square Greenmarket,"West 12 St &amp; 8th Ave, New York, NY 10014
(40.733929999569966, -74.00501000031113)",40.79812,-73.96729,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=982912,207985&c=GISBasic&s=i:WEST+12+STREET,8+AVENUE,MANHATTAN",food scraps,Saturdays,8 am – 1 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,Action Center,"6 River Terrace, 10282",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=979798,200028&c=GISBasic&s=a:6,RIVER+TERRACE,MANHATTAN",n/a,,,,,,,,Institution,n/a,n/a,
MN,All People's Garden,"293-295 East 3rd Street, 10009",,,http://maps.nyc.gov/doitt/nycitymap/?searchType=AddressSearch&addressNumber=293&street=East+3rd+St&borough=Manhattan&Submit=Go,"leaves, garden trimmings, food scraps",,,,,,,http://http//www.grownyc.org/openspace/gardens/man/all-peoples,Community Garden,enclosed bin,no,
MN,Carver Community Garden,"242 East 124 Street, 10035",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=AddressSearch&addressNumber=242&street=East+124+St&borough=Manhattan&Submit=Go,"leaves, garden trimmings, food scraps",,,,,,,,Community Garden,enclosed bins,no,
MN,Chenchita's Garden,"East 112th Street and Madison Avenue, 10029",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=East+112th+St&crossStreetTwo=Madison+Ave&borough=Manhattan&Submit4=Go,"leaves, garden trimmings, food scraps",,,,,,,,Community Garden,2 or 3 bin,no,
MN,"City College of New York, The Bernard and Ann Spitzer School of Architechture","East 103rd Street b/t Park and Lexington Avenues, 10029",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=998288,227463&c=GISBasic&s=i:EAST+103+STREET,PARK+AVENUE,MANHATTAN","leaves, food scraps",,,,,,,http://http//ssa1.ccny.cuny.edu/,Institution,enclosed bin,n/a,
MN,Clinton Community Garden,"West 48th Street between 9th Avenue and 10th Avenue, 10036",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=1057&lot=50&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.clintoncommunitygarden.org,Community Garden,"2 or 3 bin, enclosed bins",no,
MN,Columbia Secondary School,"425 West 123rd Street, 5th floor, 10027",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=996391,234677&c=GISBasic&s=a:425,WEST+123+STREET,MANHATTAN",n/a,,,,,,,http://http//www.columbiasecondary.org/front,NYC Schools (K-12),n/a,n/a,
MN,Columbia University Greenmarket,"Broadway b/t 114 &amp; 115 St, New York, NY 10025
(40.798120000038125, -73.96729000013323)",40.79812,-73.96729,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993981,233184&c=GISBasic&s=i:BROADWAY,WEST+114+STREET,MANHATTAN",food scraps,Sundays,8 am – 1 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,Common Ground,,,,,"garden trimmings, food scraps",,,,,,,http://www.commonground.org,Institution,enclosed bins,no,
MN,Compost Learning Center,"Picnic Point, Governors Island, 10004",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=980605,190782&c=GISBasic&s=a:1,GOVERNORS+ISLAND,MANHATTAN","leaves, garden trimmings, food scraps, chicken and goat manure",,,,,,,,Institution,"open pile, enclosed bins, 2 or 3 bin, chicken composting",yes,
MN,Creative Little Garden,"530 East 6th Street between Avenue A and Avenue B, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=401&lot=25&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.creativelittlegarden.org,Community Garden,enclosed bins,no,
MN,Dias y Flores Garden,"520-522 East 13th Street between Avenue A and Avenue B, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=406&lot=17&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://diasyfloresgarden.wordpress.com,Community Garden,enclosed 2 bin,no,
MN,Earth School Garden,"600 East 6th Street, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=387&lot=1&Submit3=Go,"garden trimmings, leaves, food scraps",,,,,,,http://www.theearthschool.org,NYC Schools (K-12),2 or 3 bin,no,
MN,East River Park Compost Yard,"East River Park, New York, New York, 10009",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=991523,201074&c=GISBasic&s=p:EAST+RIVER+PARK,MANHATTAN","leaves, food scraps",,,,,,,http://www.commonground.org,Not for profit,enclosed bins and windrows,yes,
MN,El Jardin de Paraiso,"East 4th Street and Avenue C, 10009",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=989747,202424&c=GISBasic&s=i:EAST+4+STREET,AVENUE+C,MANHATTAN","leaves, garden trimmings, food scraps",,,,,,,http://http//evpcnyc.org/eljardin/,Community Garden,"2 or 3 bin, enclosed bins",n/a,
MN,El Sol Brillante Garden,"East 12th Street between Avenue A and Avenue B, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=405&lot=20&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,,Community Garden,"2 or 3 bin, enclosed bins",no,
MN,El Sol Brillante Jr Garden,"East 12th Street between Avenue A and Avenue B, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=406&lot=46&Submit3=Go,"leaves, garden trimmings",,,,,,,,Community Garden,enclosed bins,no,
MN,Friends Seminary,"222 East 16th Street, 10003",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=897&lot=16&Submit3=Go,"leaves, food scraps",,,,,,,http://www.friendsseminary.org/,Institution,enclosed bins,no,
MN,Governor's Island Public Food Scrap Drop-Off Sites,"Governors Island, New York, NY 10004
(40.70139752462481, -74.0116374125671)",40.70139752,-74.01163741,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=980605,190782&c=GISBasic&s=a:1,GOVERNORS+ISLAND,MANHATTAN",food scraps,whenever Governors Island is open to the public,whenever Governors Island is open to the public,,check Trust for Governors Island   website for specific food scrap drop-off sites on Governors Island and schedule updates,NYC Compost Project Local Organics Recovery Program,Earth Matter NY  through the NYC Compost Project Local Organics Recovery Program,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,Green Oasis Community Garden & Gilbert's Sculpture Garden,"374-388 East 8th Street between Avenue C and Avenue D, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=377&lot=18&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://greenoasisgarden.net,Community Garden,"2 or 3 bin, enclosed bins",no,
MN,Harlem Success Garden,"West 134th Street b/t Lenos and Powell Boulveard, 10039",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=999698,236075&c=GISBasic&s=i:WEST+134+STREET,POWELL+BOULEVARD,MANHATTAN","leaves, garden trimmings, food scraps",,,,,,,http://http//harlemgrown.org/harlem-success-garden/,Community Garden,"2 or 3 bin, enclosed bins",n/a,
MN,Herb Garden,"176-178 East 111th Street between 3rd Avenue and Lexington Avenue, 10029",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=1638&lot=142&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.nyrp.org/Parks_and_Gardens/Community_Gardens/Manhattan/Herb_Garden,Community Garden,"2 or 3 bin, enclosed bins",no,
MN,Inwood Greenmarket,"Isham St between Seaman Ave &amp; Cooper St, New York, NY 10034
(40.86663999963645, -73.92150000012475)",40.86664,-73.9215,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006208,256266&c=GISBasic&s=i:ISHAM+STREET,SEAMAN+AVENUE,MANHATTAN",food scraps,Saturdays,8 am – 12 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,New York Restoration Project,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,Inwood Hill Park,"West 218th Street and Indian Road, 10034",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=2255&lot=2000&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.nycgovparks.org/parks/inwoodhillpark,Park,"2 or 3 bin, enclosed bins",no,
MN,La Plaza Cultural Garden,"East 9th Street and Avenue C, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=391&lot=30&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://laplazacultural.org/,Community Garden,"2 or 3 bin, enclosed bins",no,
MN,Liz Christy Garden,"110 East Houston Street, 10009",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=986525,203087&c=GISBasic&s=a:110,EAST+HOUSTON+STREET,MANHATTAN","leaves, garden trimmings, food scraps",,,,,,,http://http//www.lizchristygarden.us/,Community Garden,2 or 3 bin,n/a,
MN,Los Amigos Garden,"221 East 3rd Street between Avenue B and Avenue C, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=386&lot=60&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.nycgovparks.org/parks/M357/,Community Garden,open pile,no,
MN,Lower East Side Ecology Center Community Garden,"North side of East 7th St between Ave B &amp; Ave C, New York, NY 10009
(40.72638999989874, -73.9809699996656)",40.72639,-73.98097,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006208,256266&c=GISBasic&s=i:ISHAM+STREET,SEAMAN+AVENUE,MANHATTAN",food scraps,Sundays,8 am – 5 pm,,households only; no businesses or other commercial generators may drop off organic waste,Lower East Side Ecology Center,Lower East Side Ecology Center,http://www.lesecologycenter.org/,,,,
MN,M'Finda Kalunga Community Garden,"Rivington Street between Chrystie Street and Forsyth Street, in Sara D. Roosevelt Park, 10003",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=420&lot=1&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://mkgarden.org,Community Garden,"open pile/bin, enclosed bins",no,
MN,Marian S. Heiskell Garden,"315 West 48th Street, 10036",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=987671,216738&c=GISBasic&s=a:315,WEST+48+STREET,MANHATTAN",n/a,,,,,,,http://http//www.grownyc.org/openspace/gardens/man/marian,Community Garden,n/a,n/a,
MN,Mission Garden,"Madison Ave and East 112th Street, 10029",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=999007,229814&c=GISBasic&s=i:MADISON+AVENUE,EAST+112+STREET,MANHATTAN","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,enclosed bin,n/a,
MN,Morris Jumel Community Garden,"457 West 162nd Street, 10032",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=2110&lot=58&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://morrisjumelcommunitygarden.wordpress.com/,Community Garden,"2 or 3 bin, enclosed bin",no,
MN,New Amsterdam Market,"South Street b/t Beekman St. &amp; Peck Slip
New York, NY 10038
(40.70904999975784, -74.00542999989443)",40.70905,-74.00543,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=983762,196866&c=GISBasic&s=k:SOUTH+STREET,BEEKMAN+STREET,PECK+SLIP,MANHATTAN",food scraps,Sundays,8 am – 5 pm,Year Round,households only; no businesses or other commercial generators may drop off organic waste,NYC Compost Project Local Organics Recovery Program,Earth Matter NY  through the NYC Compost Project Local Organics Recovery Program,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,New York Harbor School,"10 South Street, 10004",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=981014,194687&c=GISBasic&s=a:10,SOUTH+STREET,MANHATTAN",n/a,,,,,,,http://http//www.newyorkharborschool.org/,Organization,n/a,n/a,
MN,Petit Versailles,,,,,"leaves, garden trimmings, food scraps",,,,,,,http://alliedproductions.org/,Community Garden,"2 or 3 bin, enclosed bin",no,
MN,Pleasant Village Community Garden,"Pleasant Avenue between East 118th Street and East 119th Street, 10035",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=1815&lot=2&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.nycgovparks.org/parks/M299/,Community Garden,enclosed bins,no,
MN,Rodale Pleasant Park Community Garden,"East 114th Street between Pleasant Avenue and First Avenue, 10029",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=1708&lot=20&Submit3=Go,"leaves, garden trimmings",,,,,,,http://www.nyrp.org/Parks_and_Gardens/Community_Gardens/Manhattan/Rodale_Pleasant_Park_Community_Garden,Community Garden,"2 or 3 bin, enclosed bins",no,
MN,Sherman Creek Center,"3725 10th Ave (between Dyckman St &amp; 201st St), New York, NY 10034
(40.86663999963645, -73.92150000012475)",40.86664,-73.9215,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006138,252047&c=GISBasic&s=a:3725,10+AVENUE,MANHATTAN","food scraps, leaves, garden trimmings",Monday – Friday,8 am – 4 pm,Year Round,"Drop off food scraps in the green metal containers within the large operations yard on the east side of the street. Do not include any metal, plastic, meat, oils, cooked foods, or highly invasive weeds. Contact jsmith@nyrp.org with any questions.",New York Restoration Project,New York Restoration Project,http://www.nyrp.org/,,,,
MN,Sherman Creek Center,"3725 10th Avenue between Dyckman Street and 201st Street,",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1006138,252047&c=GISBasic&s=a:3725,10+AVENUE,MANHATTAN","garden trimmings, food scraps",,,,,,,http://www.nyrp.org/Parks_and_Gardens/Parks/Swindler_Cove_Park/Park_Overview,Park,"open pile, enclosed bins",no,
MN,Sixth Street Community Center,"638 East 6th Street, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=387&lot=128&Submit3=Go,"leaves, garden trimmings, food scraps",,,,,,,http://www.sixthstreetcenter.org,Institution,enclosed bins,no,
MN,Stuyvesant Cove Park,"East 23rd Street and the East River, 10009",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=981&lot=2&Submit3=Go,"leaves, garden trimmings",,,,,,,http://www.stuyvesantcove.org,Park,2 or 3 bin,no,
MN,Target East Harlem Garden,"East 117th Street between Pleasant Avenue and First Avenue, 10029",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=1710&lot=33&Submit3=Go,"leaves, garden trimmings",,,,,,,http://www.nyrp.org/Parks_and_Gardens/Community_Gardens/Manhattan/Target_East_Harlem_Community_Garden,Community Garden,open pile/bin,no,
MN,Tompkins Square Greenmarket,"East 7th St. &amp; Ave. A, New York, NY 10009
(40.72638999989874, -73.9809699996656)",40.72639,-73.98097,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=988814,203798&c=GISBasic&s=i:EAST+7+STREET,AVENUE+A,MANHATTAN",food scraps,Sundays,8 am – 1 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,Tribeca Greenmarket,"Greenwich St &amp; Chambers St, New York, NY 10007
(40.71370000015503, -74.00789999958516)",40.7137,-74.0079,"http://gis.nyc.gov/doitt/nycitymap/?z=9&p=981187,200258&c=GISBasic&s=i:GREENWICH+STREET,CHAMBERS+STREET,MANHATTAN",food scraps,Saturdays,8 am – 1 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,Tucker Square Greenmarket,"66th St. &amp; Columbus Ave., New York, NY 10023
(40.77696000000418, -73.98186000023867)",40.77696,-73.98186,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=989354,221121&c=GISBasic&s=i:WEST+66+STREET,COLUMBUS+AVENUE,MANHATTAN",food scraps,Saturdays,8 am – 1:00 pm,,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
MN,Union Square Greenmarket,"39 Union Square West, New York, NY 10003&nbsp;
(40.73692524139233, -73.99048535843798)",40.73692524,-73.99048536,http://gis.nyc.gov/doitt/nycitymap/?searchType=AddressSearch&addressNumber=39&street=union+sq+west&borough=Manhattan&Submit=Go,food scraps,"Mondays, Wednesdays, Fridays, Saturdays",8 am – 5 pm,Year Round,households only; no businesses or other commercial generators may drop off organic waste,Lower East Side Ecology Center,Lower East Side Ecology Center,http://www.lesecologycenter.org/,,,,
MN,Unity Gardens,"West 128th Street and Lenox Ave, 10027",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=999729,234275&c=GISBasic&s=i:WEST+128+STREET,LENOX+AVENUE,MANHATTAN","garden trimmings, food scraps, leaves",,,,,,,http://http//www.nycgovparks.org/parks/unitygardens/,Community Garden,2 or 3 bin,n/a,
MN,Urban Garden Center,"1640 Park Avenue, 10035",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=999894,230603&c=GISBasic&s=a:1640,PARK+AVENUE,MANHATTAN","garden trimmings, food scraps",,,,,,,http://http//www.urbangardennyc.com/,Business,enclosed bin,n/a,
MN,West Side Garden,"West 89th Street between Columbus Avenue and Amsterdam Avenue, 10024",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=1220&lot=17&Submit3=Go,,,,,,,,http://www.westsidecommunitygarden.org,"leaves, garden trimmings, food scraps",no,,
QN,ARROW Community Garden,"35th Street between 35th Avenue and 36th Avenue, 11106",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Queens&block=638&lot=37&Submit3=Go,garden trimmings,,,,,,,,Community Garden,varies,no,
QN,Astoria Arrow Community Supported Agriculture,"35-30 35th St, Astoria, NY 11106
(40.75616679371618, -73.92576690882862)",40.75616679,-73.92576691,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1004640,214672&c=GISBasic&s=a:35-30,35+STREET,QUEENS",food scraps,Thursday,4:30 - 7:30 PM,(May 31 to Nov 29)(skip November 22),food scrap drop-off when CSA is in operation,NYC Compost Project Local Organics Recovery Program,Western Queens Compost Initiative  through the NYC Compost Project Local Organics Recovery Program,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
QN,Baby Park Aerated Static Pile,"10-02 Queens Plaza South, Long Island City, Queens, 11101",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=998787,213716&c=GISBasic&s=a:10-02,QUEENS+PLAZA+SOUTH,QUEENS","food scraps, garden trimmings",,,,,,,,Park,"2-3 bin, open pile",no,
QN,Back to Eden Community Garden,"144-55 Lakewood Avenue, 11435",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1038747,190620&c=GISBasic&s=a:144-55,LAKEWOOD+AVENUE,QUEENS","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,enclosed bins,no,
QN,Beach 91st Street Garden,"136 Beach 91st Street, 11691",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1036098,152527&c=GISBasic&s=a:1-36,BEACH+91+STREET,QUEENS","leaves, garden trimmings, food scraps",,,,,,,http://www.thegardenpeople.org/directions.html,Community Garden,2 or 3 bins,n/a,
QN,Berekely Co-op,"77th Street and 35th Avenue, 11372",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1014913,213014&c=GISBasic&s=i:77+STREET,35+AVENUE,QUEENS",n/a,,,,,,,http://www.theberkeleycoop.com/,Residential,n/a,n/a,
QN,Brooklyn Grange,"37-18 Northern Blvd., Long Island City, NY 11101",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1004891,213250&c=GISBasic&s=a:37-18,NORTHERN+BOULEVARD,QUEENS","leaves, food scraps",,,,,,,http://www.brooklyngrangefarm.com/,Business,"open pile/bin, enclosed bins",no,
QN,Build it Green!NYC,"3-17 26th Ave., Astoria, NY 11102",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1002892,222223&c=GISBasic&s=a:3-17,26+AVENUE,QUEENS","leaves, food scraps",,,,,,,http://bignyc.org/,business,closed bins,no,
QN,Celtic Park Co-op,"48-10 43rd Street, 11377",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Queens&block=178&lot=25&Submit3=Go,food scraps,,,,,,,,Residential,enclosed bins,no,
QN,Dunton Community Garden,"143-01 Shore Avenue, 11435",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1038106,190590&c=GISBasic&s=a:143-01,SHORE+AVENUE,QUEENS","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,enclosed bins,no,
QN,Evergreen Community Garden,"Colden Street at Juniper Avenue, 11355",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1033759,212120&c=GISBasic&s=i:COLDEN+STREET,JUNIPER+AVENUE,QUEENS","garden trimmings, leaves",,,,,,,,Community Garden,open pile,n/a,
QN,Fort Totten Park,"Cross Island Pkwy. b/t Totten Ave and 15th Rd, 11360",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1044583,226961&c=GISBasic&s=i:CROSS+ISLAND+PARKWAY,TOTTEN+AVENUE,N,QUEENS","leaves, food scraps, garden trimmings",,,,,,,http://www.nycgovparks.org/parks/forttotten,Park,enclosed bin,n/a,
QN,Growing Up Green Charter School,"39-37 28th Street, 11101",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1001956,213530&c=GISBasic&s=a:39-37,28+STREET,QUEENS",n/a,,,,,,,http://http//www.gugcs.org/,NYC Schools (K-12),n/a,n/a,
QN,I.S. 204Q,"36-41 28th Street, 11106",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1002910,214943&c=GISBasic&s=a:36-41,28+STREET,QUEENS",n/a,,,,,,,http://www.cae-nyc.org/schools/204_q_oliver_w_holmes_school,NYC Schools (K-12),enclosed bin,n/a,
QN,Intergenerational Garden at QGB,"43-50 Main Street, 11355",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1031523,212704&c=GISBasic&s=a:43-50,MAIN+STREET,QUEENS","garden trimmings, leaves",,,,,,,http://www.queensbotanical.org/programs/IntergenerationalGarden,Community Garden,n/a,n/a,
QN,Jackson Heights Greenmarket,"34th Ave at 77th St, Jackson Heights, NY 11372
(40.752350000052616, -73.88213999986095)",40.75235,-73.88214,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1014814,213723&c=GISBasic&s=i:34+AVENUE,77+STREET,QUEENS",food scraps,Sundays,9 am – 12 pm,Year round,food scrap drop off when farmers market is in operation,Western Queens Compost Initiative  through the NYC Compost Project Local Organics Recovery Program,Western Queens Compost Initiative  through the NYC Compost Project Local Organics Recovery Program,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
QN,JH Scraps,"35th Ave & 69th Street, 11377",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1012916,212736&c=GISBasic&s=i:35+AVENUE,69+STREET,QUEENS","leaves, food scraps",,,,,,,,Community Garden,enclosed bins,no,
QN,John Bowne High School,"63-25 Main Street, 11367",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Queens&block=6507&lot=1&Submit3=Go,"leaves, garden trimmings, animal bedding, farm waste",,,,,,,http://johnbowne.org,NYC Schools (K-12),2 or 3 bin,no,
QN,Land Restoration Project,"Queen Plaza South and 10th Street, 11101",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=998766,213843&c=GISBasic&s=i:QUEENS+PLAZA+SOUTH,10+STREET,QUEENS",n/a,,,,,,,,Park,n/a,n/a,
QN,LIC Community Garden,"49th Avenue between Vernon Boulevard and 5th Street, 11101",,,http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Queens&block=32&lot=39&Submit3=Go,garden trimmings,,,,,,,,Community Garden,"open pile/bin, enclosed bins",no,
